text,user,sentiment
"@adilshahzeb @BBhuttoZardari Whats so Nazaryati in PPP, When i see PPP i see Sharjeel Memon, Siraj durrani, Pir Maz… https://t.co/ubjaM5RFQO",Goharhasan,neutral
"RT @RukhsanaQ: All the ""liberal"" brigade  need to watch Agha Siraj Durrani's latest video threatening voters,sending LAANAT.Can we expect s…",ZahraKh61991795,positive
New On https://t.co/jGtwgEuvn9: Broadcom Announced CA Technologies Acquisition – Analysts Downgraded Stock -… https://t.co/W9clRsNhE9,streetsignals,positive
Wth is Miraj ki problem man??!!!🙄 Like he says that jo jaadu Siraj pe kia tha woh uspe bhi hogya hai. NO!! Zara has… https://t.co/JTryNSun0U,Muskaan__Singh,neutral
"Vihari, Nair help India A seize initiative The duo put on a century-stand after Siraj's four-fer helped bundle out… https://t.co/0JbQHKFXYQ",BABLI211,neutral
"Vihari, Nair help India A seize initiative The duo put on a century-stand after Siraj's four-fer helped bundle out… https://t.co/o2ePVvtigS",Dil_Hy_Betaab,neutral
MOONSHADOW - Cat Stevens: https://t.co/DfManypS78 via @YouTube,Siraj_ShNai,neutral
RT @AhsanNA78: Prof. Ahsan Iqbal reached Union Council Gotta Siraj to meet the locals! It was supposed to be a corner meeting but the peopl…,khanfahad89,neutral
"Vihari, Nair help India A seize initiative The duo put on a century-stand after Siraj's four-fer helped bundle out… https://t.co/oO7Eptiqtp",VOICE_2U,neutral
"RT @suaraislamco: Astaghfirullah, Pendukung Prabowo Ini Ngawur Tuduh Islam Nusantara Bertuhan Jokowi dan Bernabi Said Aqil Siraj https://t.…",nogoshop,neutral
@aead_alrawi95 @Enkidu0 منهم من سكت والساكت عن الحق كالشيطان الاخرس  ومنهم من عافها معلوكه وشرد ومنهم من انضم لداعش… https://t.co/53lFAFxRuK,Siraj_aldeen313,neutral
"RT @RCBTweets: Meanwhile, Mohammed Siraj bags yet another 4-fer in the 2nd innings versus Windies A 🙌
An 8 wicket haul in the game isn't to…",habil_official9,negative
"RT @UgandanLawyer: Some of Uganda's successful young lawyers following their Father's successful legal career...

4. Siraj Ali - Son to Gen…",wazy03,positive
RT @PTIMPK: Siraj Ul Haq 😁😁😁😁 https://t.co/hq43YVzFnb,khan_Sheebaa,neutral
RT @PTIMPK: Siraj Ul Haq 😁😁😁😁 https://t.co/hq43YVzFnb,CSSAspirant4,neutral
"RT @AnumkhanT: اگر آپ چاہتے ہیں کہ اس شخص کا بھی احتساب ہو تو Retweet کریں! 
#Accountability4All https://t.co/HOBeFlWboy",siraj_ansa,neutral
RT @PTIMPK: Siraj Ul Haq 😁😁😁😁 https://t.co/hq43YVzFnb,SamiAlyS,neutral
@malavika_va @fantasia_iq Plz he doesn't have any chemistry with Zara him telling jaan e miraj is cringe worthy yeh… https://t.co/Yosz1IqioJ,PSwati034,positive
RT @PTIMPK: Siraj Ul Haq 😁😁😁😁 https://t.co/hq43YVzFnb,Ulti_khopari,neutral
RT @AhsanNA78: Prof. Ahsan Iqbal reached Union Council Gotta Siraj to meet the locals! It was supposed to be a corner meeting but the peopl…,FaizanFazal7172,neutral
RT @AhsanNA78: Prof. Ahsan Iqbal reached Union Council Gotta Siraj to meet the locals! It was supposed to be a corner meeting but the peopl…,shabhuss_77,neutral
RT @PTIMPK: Siraj Ul Haq 😁😁😁😁 https://t.co/hq43YVzFnb,ksz322,neutral
"RT @RCBTweets: Meanwhile, Mohammed Siraj bags yet another 4-fer in the 2nd innings versus Windies A 🙌
An 8 wicket haul in the game isn't to…",KhadeApoorv,negative
RT @PTIMPK: Siraj Ul Haq 😁😁😁😁 https://t.co/hq43YVzFnb,ibe_anie,neutral
@RCBTweets Siraj is Awesome 🌟,ImSfizzaa,positive
"RT @RCBTweets: Meanwhile, Mohammed Siraj bags yet another 4-fer in the 2nd innings versus Windies A 🙌
An 8 wicket haul in the game isn't to…",JBadokhari,negative
RT @PTIMPK: Siraj Ul Haq 😁😁😁😁 https://t.co/hq43YVzFnb,nidi7860,neutral
"RT @RCBTweets: Meanwhile, Mohammed Siraj bags yet another 4-fer in the 2nd innings versus Windies A 🙌
An 8 wicket haul in the game isn't to…",Manish98bjym,negative
"RT @RCBTweets: Meanwhile, Mohammed Siraj bags yet another 4-fer in the 2nd innings versus Windies A 🙌
An 8 wicket haul in the game isn't to…",iamrahule,negative
"Meanwhile, Mohammed Siraj bags yet another 4-fer in the 2nd innings versus Windies A 🙌
An 8 wicket haul in the game… https://t.co/hesGgKhOD3",RCBTweets,neutral
RT @PTIMPK: Siraj Ul Haq 😁😁😁😁 https://t.co/hq43YVzFnb,bkhanz181,neutral
RT @PTIMPK: Siraj Ul Haq 😁😁😁😁 https://t.co/hq43YVzFnb,fayyazahmed2k18,neutral
@tps1392 arey pilu kahi usko pata to nahi chala Miraj Siraj bros.. ya fir Miraj he Siraj ??? bohot confusing hai,im__sneha,negative
RT @PTIMPK: Siraj Ul Haq 😁😁😁😁 https://t.co/hq43YVzFnb,Asfandy65347582,neutral
"I agree with you, the current situation of lahore will realize 1992 &amp; 2016 operations to MNS. https://t.co/9ZqG9j0XQh",siraj_ansa,neutral
RT @AhsanNA78: Prof. Ahsan Iqbal reached Union Council Gotta Siraj to meet the locals! It was supposed to be a corner meeting but the peopl…,Malikji1850,neutral
RT @AhsanNA78: Prof. Ahsan Iqbal reached Union Council Gotta Siraj to meet the locals! It was supposed to be a corner meeting but the peopl…,important786,neutral
Siraj Ul Haq 😁😁😁😁 https://t.co/hq43YVzFnb,PTIMPK,neutral
Prof. Ahsan Iqbal reached Union Council Gotta Siraj to meet the locals! It was supposed to be a corner meeting but… https://t.co/DYfKSNgNwM,AhsanNA78,neutral
"India A made a terrific comeback thanks to their fast bowlers to set up an exciting finish on the last day.

WI A 3… https://t.co/meGnT3ofiA",CircleofSports1,positive
"India A made a terrific comeback thanks to their fast bowlers to set up an exciting finish on the last day.

WI A 3… https://t.co/5zeA2ao85g",circleofcricket,positive
"India A made a terrific comeback thanks to their fast bowlers to set up an exciting finish on Day 3.

WI A 302 &amp; 21… https://t.co/n5176EthmR",CircleofSports1,positive
India A's batsmen take control of four-day game after Siraj four-for sparks Windies collapse. Day 3 Report: https://t.co/p4nu1VgKfZ,WisdenIndia,negative
"RT @fantasia_iq: During Siraj fiasco, The gun was on Kabeer’s head and he said, •hum mar jayen gey talaaq nahi dengey•

Could he have said…",Shanu_ZaBeer,neutral
@rabiasquared Siraj is an #idoit and ppl like him will allow #facsism to happen &amp; then complain when it’s too late https://t.co/FKQ4Rn7uPH,DJAlex_va,negative
@zelalemkibret 👀,siraj_bedru,neutral
